Item Code,Lot Number,Unit Weight,Complexity Code,Product Group,Stock Value,Product Category Description,IMAGE,Unnamed: 8
51W3BHDKYABA00,T434EDB,56,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDKY.jpg,'Image')
51W3BHDLCABA00,T434EDO,39.52,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDLC.jpg,
51W3BHDLDABA00,T434EMU,39.72,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDLD.jpg,
51W3BHDNIABA00,T557EIO,46.64,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDNI.jpg,
51W3BHDQNABA00,T557EIQ,46.62,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDQN.jpg,
51W3BHDQSABA00,T559EFT,38.5,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDQS.jpg,
51W3BHDQVABA00,T561ECT,47.21,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDQV.jpg,
51W3BHDQYABA00,W1D12FO,54.61,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDQY.jpg,
51W3BHDRWABA00,W1D1EBO,26.41,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDRW.jpg,
51W3BHDSEABA00,W1D1EIJ,46.69,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDSE.jpg,
51W3BHEQQ1AA00,W1D1ENZ,33.24,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHEQQ.jpg,
51W3BHERC1AA00,W1D1EPE,32.32,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHERC.jpg,
51W3BHJRMABA00,W1D1EPG,49.2,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHJRM.jpg,
51W3BHJTEABA00,W2A1EVJ,44.6,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHJTE.jpg,
51W3BHNFX1AA00,W2A2EDQ,58.45,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNFX.jpg,
51W3BHNHW1AA00,W2A2EDS,42.05,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNHW.jpg,
51W3BHNHX1AA00,W2A2EDW,57.81,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNHX.jpg,
51W3BHNHY1AA00,W2A2EHW,53.17,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNHY.jpg,
51W3BHNHZ1AA00,W2A2EJX,39.08,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNHZ.jpg,
51W3BHNIA1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNIA.jpg,
51W3BHNKI1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNKI.jpg,
51W3BHNKK1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNKK.jpg,
51W3BHNKL1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNKL.jpg,
51W3BHNKQ1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNKQ.jpg,
51W3BHNLE1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNLE.jpg,
51W3BHNLF1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNLF.jpg,
51W3BHNMQ1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNMQ.jpg,
51W3BHNMR1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNMR.jpg,
51W3BHNMS1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNMS.jpg,
51W3BHNMT1AA00,W2BH2LD,57.02,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNMT.jpg,
51W3BHNMU1AA00,W2BH2LD,58.02,High,Rings,10001,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNMU.jpg,
51W3BHNMV1AA00,W2BH2LD,59.02,High,Rings,10002,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNMV.jpg,
51W3BHNMW1AA00,W2BH2LD,60.02,High,Rings,10003,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNMW.jpg,
51W3BHNNB1AA00,W2BH2LD,61.02,High,Rings,10004,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNNB.jpg,
51W3BHNNI1AA00,W2BH2LD,62.02,High,Rings,10005,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNNI.jpg,
51W3BHNNJ1AA00,W2BH2LD,63.02,High,Rings,10006,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNNJ.jpg,
51W3BHNNK1AA00,W2BH2LD,64.02,High,Rings,10007,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNNK.jpg,
51W3BHNNL1AA00,W2BH2LD,65.02,High,Rings,10008,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNNL.jpg,
51W3BHNNM1AA00,W2BH2LD,66.02,High,Rings,10009,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNNM.jpg,
51W3BHNOO1AA00,W2BH2LD,67.02,High,Rings,10010,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNOO.jpg,
51W3BHNRJ1AA00,W2BH2LD,68.02,High,Rings,10011,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNRJ.jpg,
51W3BHNRM1AA00,W2BH2LD,69.02,High,Rings,10012,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNRM.jpg,
51W3BHNRN1AA00,W2BH2LD,70.02,High,Rings,10013,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNRN.jpg,
51W3BHNRS1AA00,W2BH2LD,71.02,High,Rings,10014,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNRS.jpg,
51W3BHNRU1AA00,W2BH2LD,72.02,High,Rings,10015,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNRU.jpg,
51W3BHNRV1AA00,W2BH2LD,73.02,High,Rings,10016,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNRV.jpg,
51W3BHNRW1AA00,W2BH2LD,74.02,High,Rings,10017,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNRW.jpg,
51W3BHNSE1AA00,W2BH2LD,75.02,High,Rings,10018,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNSE.jpg,
51W3BHNSG1AA00,W2BH2LD,76.02,High,Rings,10019,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNSG.jpg,
51W3BHNTE1AA00,W2BH2LD,77.02,High,Rings,10020,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNTE.jpg,
51W3BHNTP1AA00,W2BH2LD,78.02,High,Rings,10021,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNTP.jpg,
51W3BHNTQ1AA00,W2BH2LD,79.02,High,Rings,10022,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHNTQ.jpg,
51W3BIDGNABA00,W2BH2LD,80.02,High,Rings,10023,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BIDGN.jpg,
51W3BIDNZABA00,W2BH2LD,81.02,High,Rings,10024,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BIDNZ.jpg,
51W3BIDODABA00,W2BH2LD,82.02,High,Rings,10025,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BIDOD.jpg,
51W3BIDOLABA00,W2BH2LD,83.02,High,Rings,10026,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BIDOL.jpg,
51W3BIDOMABA00,W2BH2LD,84.02,High,Rings,10027,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BIDOM.jpg,
